"movieId","movieTitle","movieYear","movieURL","critic_score","audience_score"
"6da4d992-97ca-3acc-834c-37c1ad34872c","Singin' in the Rain",1952,"https://www.rottentomatoes.com/m/singin_in_the_rain","100%","95%"
"56b1624a-1ceb-3598-8ee2-62236554094a","Top Hat",1935,"https://www.rottentomatoes.com/m/top_hat","100%","90%"
"718dd15b-50ee-3090-84c7-13244b587b00","Meet Me in St. Louis",1944,"https://www.rottentomatoes.com/m/meet_me_in_st_louis","100%","87%"
"80f30474-3ac3-36c7-a43b-648d1a627432","The Wizard of Oz",1939,"https://www.rottentomatoes.com/m/the_wizard_of_oz_1939","98%","89%"
"54438ade-99ad-3043-801b-8ac09597be3a","A Hard Day's Night",1964,"https://www.rottentomatoes.com/m/beatles_a_hard_days_night","98%","89%"
"f0d7c68d-0619-347c-b4c8-f096af61fa5e","Gentlemen Prefer Blondes",1953,"https://www.rottentomatoes.com/m/gentlemen_prefer_blondes","88%","83%"
"47b9bd39-7a0f-36cc-a9d7-e60a1100c242","A Star Is Born",1954,"https://www.rottentomatoes.com/m/1019829-star_is_born","98%","81%"
"4c6d2b7b-ab98-3a0a-ab90-b21bf797b103","The Young Girls of Rochefort",1967,"https://www.rottentomatoes.com/m/the_young_girls_of_rochefort","98%","84%"
"bd259d46-a8a4-3ec7-8cd1-41b5b20102ee","The Umbrellas of Cherbourg",1964,"https://www.rottentomatoes.com/m/the_umbrellas_of_cherbourg_1964","97%","87%"
"a95d96f1-2f24-3697-a914-8882583ef03c","Once",2007,"https://www.rottentomatoes.com/m/once","97%","91%"
"eb6b7381-1511-3c4a-9067-7bbf355a7094","A Night at the Opera",1935,"https://www.rottentomatoes.com/m/1015002-night_at_the_opera","97%","90%"
"dce7b922-a512-3803-beb8-88a91b036131","An American in Paris",1951,"https://www.rottentomatoes.com/m/american_in_paris","95%","79%"
"a308faa6-c764-3c5d-b808-d8753280d577","Mary Poppins",1964,"https://www.rottentomatoes.com/m/mary_poppins","97%","86%"
"f47dc366-2c75-3e23-92e6-aab727e79ba9","The Muppets",2011,"https://www.rottentomatoes.com/m/the_muppets","95%","80%"
"1655d908-6680-3030-a880-374dec2822f8","Sing Street",2016,"https://www.rottentomatoes.com/m/sing_street","95%","92%"
"151caaa1-b5c4-38fe-9260-5574698a1be3","Lagaan: Once Upon a Time in India",2001,"https://www.rottentomatoes.com/m/lagaan_once_upon_a_time_in_india","95%","93%"
"49418f83-762f-439c-9152-3d2407529792","In the Heights",2021,"https://www.rottentomatoes.com/m/in_the_heights_2021","94%","94%"
"b1a5dac4-4ffe-3382-8037-b2856790bcb7","Funny Girl",1968,"https://www.rottentomatoes.com/m/funny_girl","94%","85%"
"1c40b172-f646-3e8b-b891-ee05d977271c","My Fair Lady",1964,"https://www.rottentomatoes.com/m/my_fair_lady","95%","90%"
"a3c857f4-5d3e-3acd-9fb8-17f3030a5445","Enchanted",2007,"https://www.rottentomatoes.com/m/enchanted","93%","80%"
"91a68f9f-281b-39b0-a2de-39c59527515d","Cabaret",1972,"https://www.rottentomatoes.com/m/cabaret","92%","87%"
"5279aac5-fb2f-3b1d-baf9-cc079f9c83da","West Side Story",1961,"https://www.rottentomatoes.com/m/west_side_story","92%","84%"
"c687b769-4fcd-347b-afbf-7baa949782b8","Hairspray",2007,"https://www.rottentomatoes.com/m/hairspray","92%","84%"
"c86912c4-1890-3f52-9e16-0af8ac279546","Hedwig and the Angry Inch",2001,"https://www.rottentomatoes.com/m/hedwig_and_the_angry_inch","92%","93%"
"4b4bc6e0-c5b2-3ea3-94c4-9d32b43430df","La La Land",2016,"https://www.rottentomatoes.com/m/la_la_land","91%","81%"
"9cab271d-5782-3b51-a835-3163e38deff7","West Side Story",2021,"https://www.rottentomatoes.com/m/west_side_story_2021","92%","93%"
"f0b9146c-b0f3-3175-913b-957e219fa996","The Sapphires",2012,"https://www.rottentomatoes.com/m/the_sapphires_2012","91%","76%"
"875cd3ea-7645-30c1-996c-338d3a1e10a3","Willy Wonka and the Chocolate Factory",1971,"https://www.rottentomatoes.com/m/willy_wonka_and_the_chocolate_factory","92%","87%"
"6641ae17-bf8e-3fbb-97b1-b9677c69b651","Roald Dahl's Matilda the Musical",2022,"https://www.rottentomatoes.com/m/roald_dahls_matilda_the_musical","93%","72%"
"3e73799d-8dcb-3f2b-8bda-1bbea25d1baa","Topsy-Turvy",1999,"https://www.rottentomatoes.com/m/topsyturvy","90%","79%"
"67b14b91-c121-347f-8bcf-d081041bb3ff","Little Shop of Horrors",1986,"https://www.rottentomatoes.com/m/1012515-little_shop_of_horrors","91%","79%"
"4fdba74b-01bd-3cf3-bc43-b04ef436bfec","Sunshine on Leith",2013,"https://www.rottentomatoes.com/m/sunshine_on_leith","90%","71%"
"dbc46773-e5ec-4bc4-ad43-5659b8a55969","Rocketman",2019,"https://www.rottentomatoes.com/m/rocketman_2019","89%","88%"
"f686d11a-0e8c-313c-ba4c-74fb7d27cbed","Oliver!",1968,"https://www.rottentomatoes.com/m/oliver","90%","81%"
"85989698-0dd9-3108-a081-55a5b131a3e9","The Lure",2015,"https://www.rottentomatoes.com/m/the_lure_2017","89%","71%"
"877d85ed-8529-30cd-beef-01e8fcac80c1","Blinded by the Light",2019,"https://www.rottentomatoes.com/m/blinded_by_the_light","89%","91%"
"77d69319-ff8d-3f32-b44f-62e28d8477c5","The Muppet Movie",1979,"https://www.rottentomatoes.com/m/muppet_movie","89%","88%"
"3d883e3d-78b5-37c1-9d79-4ccdfe7ebe46","Funny Face",1957,"https://www.rottentomatoes.com/m/funny_face","88%","80%"
"3d3e6530-c462-3456-ac38-0512042e4afc","Tick, Tick... Boom!",2021,"https://www.rottentomatoes.com/m/tick_tick_boom","87%","96%"
"80a45969-31f7-311f-b168-3c64ebf7519c","Gigi",1958,"https://www.rottentomatoes.com/m/gigi","88%","74%"
"9cf19b5e-11f6-33fb-a0a9-452d11bbfdf5","All That Jazz",1979,"https://www.rottentomatoes.com/m/all_that_jazz","87%","85%"
"52405035-b766-319c-be6b-193478c53d5a","Chicago",2002,"https://www.rottentomatoes.com/m/chicago","86%","83%"
"ca3b0cff-3f4d-34ca-bea0-563966b29d38","Sweeney Todd: The Demon Barber of Fleet Street",2007,"https://www.rottentomatoes.com/m/sweeney_todd_the_demon_barber_of_fleet_street_2007","86%","81%"
"7453c98a-eb1e-414c-8b51-0eb7703507b9","Cyrano",2021,"https://www.rottentomatoes.com/m/cyrano","85%","86%"
"a23fa525-61d4-39cf-949f-d67bf0647574","Charlie and the Chocolate Factory",2005,"https://www.rottentomatoes.com/m/charlie_and_the_chocolate_factory","83%","51%"
"bc5cc9ac-0965-376a-a85b-51a65aaa9e94","The Sound of Music",1965,"https://www.rottentomatoes.com/m/sound_of_music","83%","91%"
"cdc9b855-5349-3aec-b646-5565a04b4ffe","Fiddler on the Roof",1971,"https://www.rottentomatoes.com/m/fiddler_on_the_roof","81%","92%"
"b66d5308-00fd-3ca2-8da4-98c782df5c9b","Chi-Raq",2015,"https://www.rottentomatoes.com/m/chi_raq","82%","53%"
"6e24d172-54f0-3557-a96c-c328f2e76874","Hair",1979,"https://www.rottentomatoes.com/m/hair","83%","87%"
"d7cb1ba1-ba8a-31e8-99ad-ac8e04c75363","Mary Poppins Returns",2018,"https://www.rottentomatoes.com/m/mary_poppins_returns","79%","64%"
"997a1fe2-f88b-3304-a960-b1411033e9e8","Muppets Most Wanted",2014,"https://www.rottentomatoes.com/m/muppets_most_wanted","80%","59%"
"e6552e13-dd6f-3c75-8030-becf68119f03","Mamma Mia! Here We Go Again",2018,"https://www.rottentomatoes.com/m/mamma_mia_here_we_go_again","79%","66%"
"a3a3041b-9ef6-3177-abbe-2fe238c9eed6","Dreamgirls",2006,"https://www.rottentomatoes.com/m/dreamgirls","79%","71%"
"7d4efef6-01cf-3be5-b166-6a01267f92c5","8 Women",2002,"https://www.rottentomatoes.com/m/8_women","79%","76%"
"4f2db596-18fd-3c95-b438-ea690250d2bc","The Saddest Music in the World",2003,"https://www.rottentomatoes.com/m/saddest_music_in_the_world","80%","79%"
"0199c2ac-1023-367e-8f58-ff256dc090fc","The Rocky Horror Picture Show",1975,"https://www.rottentomatoes.com/m/rocky_horror_picture_show","80%","85%"
"13a360c0-08ec-316d-afd0-10e6bc016ae5","White Christmas",1954,"https://www.rottentomatoes.com/m/1023543-white_christmas","77%","88%"
"7f354b36-1635-38dc-ab74-fdd1214a9099","The Muppet Christmas Carol",1992,"https://www.rottentomatoes.com/m/muppet_christmas_carol","77%","86%"
"ef98f8bd-8a7b-33fe-8867-04711d2b3843","Everyone Says I Love You",1996,"https://www.rottentomatoes.com/m/everyone_says_i_love_you","77%","68%"
"e99464c6-aa79-3dbd-ae45-dd111b355f7c","Grease",1978,"https://www.rottentomatoes.com/m/grease","66%","87%"
"fc342c1f-c4af-3c6a-9df3-945bedd71f7e","Labyrinth",1986,"https://www.rottentomatoes.com/m/labyrinth","77%","86%"
"8a673e2f-1a19-3e27-a872-96c10df60fb2","Moulin Rouge",2001,"https://www.rottentomatoes.com/m/moulin_rouge_2001","75%","89%"
"7279c26f-0c70-3cd7-9d2e-aba5aaddb425","The Blues Brothers",1980,"https://www.rottentomatoes.com/m/blues_brothers","72%","92%"
"ff9369ed-2f91-3a33-97dd-c7b272bf8f6e","French Cancan",1955,"https://www.rottentomatoes.com/m/french_cancan","100%","86%"
"d186b1f3-77d9-3ec5-861f-dc1efaa86663","The Court Jester",1955,"https://www.rottentomatoes.com/m/court_jester","97%","93%"
"07022392-6580-34b8-b70f-2d56b8239f32","Swing Time",1936,"https://www.rottentomatoes.com/m/1020729-swing_time","93%","86%"
"1018977a-c8e7-33ad-8dfb-045bcfc4470b","Victor/Victoria",1982,"https://www.rottentomatoes.com/m/victor-victoria","97%","86%"
"8793724a-9eca-355a-aa09-f51532f4a7c0","42nd Street",1933,"https://www.rottentomatoes.com/m/42nd_street","96%","74%"
"69d33707-c143-3674-a464-bbde769ded61","The Cocoanuts",1929,"https://www.rottentomatoes.com/m/cocoanuts","95%","69%"
"d41369bb-0d95-3c06-bf46-dcae277f39bb","The Music Man",1962,"https://www.rottentomatoes.com/m/1014453-music_man","94%","85%"
"5ef355af-24d5-386d-b8c4-5fe6122ac325","On the Town",1949,"https://www.rottentomatoes.com/m/1015542-on_the_town","93%","83%"
"66dc5350-c41f-3a59-814d-ecaa7734b3a3","The King and I",1956,"https://www.rottentomatoes.com/m/1011605-king_and_i","93%","83%"
"bad21311-fd5c-3df6-aa3c-fe47d07560e5","Royal Wedding",1951,"https://www.rottentomatoes.com/m/royal_wedding","92%","70%"
"228d8c0c-c565-31ba-8d3c-a22b904daf34","Easter Parade",1948,"https://www.rottentomatoes.com/m/easter_parade","91%","86%"
"dd99004d-07fd-341e-af22-00a74cf827c4","Guys and Dolls",1955,"https://www.rottentomatoes.com/m/guys_and_dolls","91%","83%"
"8946d399-606b-3ba5-a88b-e22d3fba2e63","Yankee Doodle Dandy",1942,"https://www.rottentomatoes.com/m/yankee_doodle_dandy","91%","83%"
"618d040b-f49f-355a-acb1-8464308bbefc","Bye Bye Birdie",1963,"https://www.rottentomatoes.com/m/1003339-bye_bye_birdie","86%","66%"
"49c8709d-d2de-371f-858b-a720352b86fe","Seven Brides for Seven Brothers",1954,"https://www.rottentomatoes.com/m/seven_brides_for_seven_brothers","89%","87%"
"9f9b182a-2108-309a-a213-2dc4841ac334","Help!",1965,"https://www.rottentomatoes.com/m/beatles_the_help","86%","86%"
"8e64f2d7-7557-3af6-bcf6-23998193e9de","Viva Las Vegas",1964,"https://www.rottentomatoes.com/m/viva_las_vegas","87%","67%"
"02fb8b51-8092-34d9-b5e7-ea925db1367a","Monty Python's The Meaning of Life",1983,"https://www.rottentomatoes.com/m/monty_pythons_the_meaning_of_life","86%","83%"
"667c637f-17c5-3734-8fd1-357dee3e0af9","Phantom of the Paradise",1974,"https://www.rottentomatoes.com/m/phantom_of_the_paradise","82%","84%"
"ad84b55d-6ac4-3de2-98ca-b450a7af8987","Oklahoma!",1955,"https://www.rottentomatoes.com/m/oklahoma","87%","75%"
"f94dc182-9009-3fa2-9e8c-90d777aeda93","The Muppets Take Manhattan",1984,"https://www.rottentomatoes.com/m/muppets_take_manhattan","85%","76%"
"7a6c12cb-740b-3584-99b7-99e4ec9e486d","Pennies From Heaven",1981,"https://www.rottentomatoes.com/m/1016119-pennies_from_heaven","83%","64%"
"c8253783-e21d-3eeb-acf5-d6c75d0f7135","Going My Way",1944,"https://www.rottentomatoes.com/m/going_my_way","83%","74%"
"3f8cdfed-027e-33c9-aa01-4b5bce0bca3b","Fame",1980,"https://www.rottentomatoes.com/m/fame","81%","69%"
"c0cc4cf0-0472-3b3a-b29f-aadcd788a511","Bugsy Malone",1976,"https://www.rottentomatoes.com/m/bugsy_malone","79%","80%"
"d6eab578-a1ac-4445-b359-da0a0fb92b7d","Hipsters",2011,"https://www.rottentomatoes.com/m/hipsters","80%","90%"
"ec150ffc-761b-386c-9e1c-8f52a8f0f1cb","The Jazz Singer",1927,"https://www.rottentomatoes.com/m/1010978-jazz_singer","78%","56%"
"504e99e7-e385-384e-b22b-fbbe340f87ab","The Wayward Cloud",2005,"https://www.rottentomatoes.com/m/the_wayward_cloud_2005","79%","70%"
"886d18a4-7510-3cff-84ec-562d52eff16d","Carmen Jones",1954,"https://www.rottentomatoes.com/m/carmen_jones","75%","78%"
"149be1bf-3621-3dd6-93d5-6a351bb8ce25","The Great Muppet Caper",1981,"https://www.rottentomatoes.com/m/great_muppet_caper","78%","78%"
"9be6f3a3-66ce-3883-9403-04e71b9331a3","Cry Baby",1990,"https://www.rottentomatoes.com/m/cry-baby","72%","77%"
"716da691-fcea-3594-8dd2-31994f0c926b","The Great Ziegfeld",1936,"https://www.rottentomatoes.com/m/the_great_ziegfeld","71%","50%"
"a6328122-185f-3d08-81da-b041c4793ba5","Meet the Feebles",1990,"https://www.rottentomatoes.com/m/meet_the_feebles","72%","73%"
"50759bdc-c22e-39d3-b904-59ecf5576f50","Annette",2021,"https://www.rottentomatoes.com/m/annette","71%","76%"
"34f61aeb-e296-3b46-9831-b0ce0c5bcfec","Beauty and the Beast",2017,"https://www.rottentomatoes.com/m/beauty_and_the_beast_2017","71%","80%"
"f38209fd-925c-37bf-a1d7-abbaf5c9bd1c","Into the Woods",2014,"https://www.rottentomatoes.com/m/into_the_woods_2014","71%","49%"
"9e53e708-ec3b-30a0-92fc-5e497653ad0d","Tommy",1975,"https://www.rottentomatoes.com/m/1021648-tommy","71%","71%"
